# omega    absorption_cross_section
0.01    -1.60031e-10
0.02    -1.60343e-10
0.03    -1.73044e-10
0.04    -2.96384e-10
0.05    -1.01613e-09
0.06    -4.21372e-09
0.07    -1.6341e-08
0.08    -5.83255e-08
0.09    -1.97444e-07
0.1    -6.56888e-07
0.11    -2.23507e-06
0.12    -8.19145e-06
0.13    -3.48751e-05
0.14    -0.000180464
0.15    -0.0005155
0.16    -0.000393871
0.17    -0.000308178
0.18    -0.000299196
0.19    -0.00033585
0.2    -0.000415513
0.21    -0.000551701
0.22    -0.000774425
0.23    -0.00113943
0.24    -0.00174875
0.25    -0.00279208
0.26    -0.00462984
0.27    -0.0079587
0.28    -0.0141298
0.29    -0.0256935
0.3    -0.0470619
0.31    -0.0844887
0.32    -0.143967
0.33    -0.228796
0.34    -0.3444
0.35    -0.512508
0.36    -0.791354
0.37    -1.31409
0.38    -2.32824
0.39    -3.74424
0.4    -3.85288
0.41    -2.66096
0.42    -1.74706
0.43    -1.2471
0.44    -0.979071
0.45    -0.833651
0.46    -0.757215
0.47    -0.721596
0.48    -0.708469
0.49    -0.7019
0.5    -0.68679
0.51    -0.653212
0.52    -0.602126
0.53    -0.544046
0.54    -0.490898
0.55    -0.449997
0.56    -0.42369
0.57    -0.411538
0.58    -0.412185
0.59    -0.424289
0.6    -0.446824
0.61    -0.479068
0.62    -0.520479
0.63    -0.570514
0.64    -0.628467
0.65    -0.693335
0.66    -0.763791
0.67    -0.838287
0.68    -0.915298
0.69    -0.993626
0.7    -1.07266
0.71    -1.1525
0.72    -1.23382
0.73    -1.31763
0.74    -1.40493
0.75    -1.49637
0.76    -1.59199
0.77    -1.69114
0.78    -1.79255
0.79    -1.89455
0.8    -1.9955
0.81    -2.09419
0.82    -2.19011
0.83    -2.28352
0.84    -2.37524
0.85    -2.46621
0.86    -2.55706
0.87    -2.64761
0.88    -2.73667
0.89    -2.82201
0.9    -2.90068
0.91    -2.96962
0.92    -3.02634
0.93    -3.06964
0.94    -3.09983
0.95    -3.11871
0.96    -3.12899
0.97    -3.13356
0.98    -3.13474
0.99    -3.13378
1    -3.13057
