# omega    absorption_cross_section
0.005    -6.93889e-10
0.01    -3.95562e-10
0.015    -3.42869e-09
0.02    -2.2692e-08
0.025    -9.05538e-08
0.03    -2.76858e-07
0.035    -7.22018e-07
0.04    -1.69961e-06
0.045    -3.73882e-06
0.05    -7.87477e-06
0.055    -1.61891e-05
0.06    -3.30635e-05
0.065    -6.83695e-05
0.07    -0.000146644
0.075    -0.000338291
0.08    -0.000893646
0.085    -0.00302391
0.09    -0.0118156
0.095    -0.00843708
0.1    -0.00330741
0.105    -0.00170726
0.11    -0.00101405
0.115    -0.000606264
0.12    -0.00029645
0.125    -6.00542e-06
0.13    0.000311624
0.135    0.000695471
0.14    0.00118822
0.145    0.00184424
0.15    0.00273824
0.155    0.00397699
0.16    0.00571667
0.165    0.00818954
0.17    0.0117457
0.175    0.0169183
0.18    0.0245249
0.185    0.0358178
0.19    0.0526901
0.195    0.0778897
0.2    0.115044
0.205    0.167946
0.21    0.238157
0.215    0.320787
0.22    0.402099
0.225    0.46536
0.23    0.502179
0.235    0.516205
0.24    0.516837
0.245    0.512583
0.25    0.508854
0.255    0.50846
0.26    0.512632
0.265    0.521786
0.27    0.535942
0.275    0.554925
0.28    0.578444
0.285    0.606101
0.29    0.63738
0.295    0.671624
0.3    0.708024
0.305    0.745626
0.31    0.783361
0.315    0.820111
0.32    0.854792
0.325    0.886444
0.33    0.914321
0.335    0.937946
0.34    0.957136
0.345    0.971985
0.35    0.982813
0.355    0.990105
0.36    0.994439
0.365    0.996422
0.37    0.996638
0.375    0.995621
0.38    0.99383
0.385    0.991641
0.39    0.989353
0.395    0.987187
0.4    0.985302
0.405    0.983798
0.41    0.982733
0.415    0.982124
0.42    0.981962
0.425    0.982215
0.43    0.982837
0.435    0.98377
0.44    0.984949
0.445    0.986307
0.45    0.987778
0.455    0.9893
0.46    0.990813
0.465    0.992266
0.47    0.993616
0.475    0.994828
0.48    0.995879
0.485    0.996752
0.49    0.997441
0.495    0.997948
0.5    0.998283
