# omega    absorption_cross_section
0.01    -3.56846e-10
0.02    -3.20469e-09
0.03    -5.65296e-08
0.04    -3.71687e-07
0.05    -1.71815e-06
0.06    -6.89849e-06
0.07    -2.76502e-05
0.08    -0.000132982
0.09    -0.00123155
0.1    -0.00227264
0.11    -0.000421141
0.12    -9.61388e-05
0.13    0.000104334
0.14    0.000349559
0.15    0.000741987
0.16    0.00143516
0.17    0.00272254
0.18    0.00520783
0.19    0.0101823
0.2    0.0204479
0.21    0.0417973
0.22    0.08362
0.23    0.149977
0.24    0.218757
0.25    0.260695
0.26    0.280857
0.27    0.298125
0.28    0.323764
0.29    0.362842
0.3    0.417928
0.31    0.489961
0.32    0.577281
0.33    0.674082
0.34    0.770094
0.35    0.853222
0.36    0.914534
0.37    0.951895
0.38    0.969422
0.39    0.974057
0.4    0.97237
0.41    0.969068
0.42    0.966853
0.43    0.966871
0.44    0.969241
0.45    0.973485
0.46    0.978841
0.47    0.984491
0.48    0.989711
0.49    0.993976
0.5    0.997008
0.51    0.998768
0.52    0.999416
0.53    0.999238
0.54    0.998565
0.55    0.99771
0.56    0.996915
0.57    0.996325
0.58    0.995993
0.59    0.995894
0.6    0.995959
0.61    0.996102
0.62    0.996252
0.63    0.996367
0.64    0.996438
0.65    0.996482
0.66    0.996531
0.67    0.996608
0.68    0.996723
0.69    0.996861
0.7    0.996988
0.71    0.997062
0.72    0.997045
0.73    0.996919
0.74    0.996691
0.75    0.996396
0.76    0.996089
0.77    0.995831
0.78    0.995676
0.79    0.995654
0.8    0.995763
0.81    0.99597
0.82    0.996217
0.83    0.996436
0.84    0.996566
0.85    0.996565
0.86    0.996426
0.87    0.996176
0.88    0.995868
0.89    0.995573
0.9    0.995358
0.91    0.995269
0.92    0.995325
0.93    0.995507
0.94    0.995767
0.95    0.996036
0.96    0.996242
0.97    0.996329
0.98    0.996268
0.99    0.996066
1    0.995765
