species,omega,ell,m,Gamma,dEdtdw
0,0.01,0,-0,0,0
0,0.02,0,-0,6.66134e-16,2.56064e-18
0,0.03,0,-0,0,0
0,0.04,0,-0,0,0
0,0.05,0,-0,2.22045e-16,5.02221e-19
0,0.06,0,-0,5.55112e-16,1.03756e-18
0,0.07,0,-0,6.66134e-16,1.02225e-18
0,0.08,0,-0,1.22125e-15,1.52929e-18
0,0.09,0,-0,0,0
0,0.1,0,-0,1.55431e-15,1.27414e-18
0,0.11,0,-0,2.22045e-16,1.46127e-19
0,0.12,0,-0,0,0
0,0.13,0,-0,1.11022e-15,4.64437e-19
0,0.14,0,-0,1.9984e-15,6.62381e-19
0,0.15,0,-0,1.11022e-15,2.90485e-19
0,0.16,0,-0,0,0
0,0.17,0,-0,0,0
0,0.18,0,-0,0,0
0,0.19,0,-0,6.66134e-16,6.55592e-20
0,0.2,0,-0,2.22045e-16,1.69991e-20
0,0.21,0,-0,0,0
0,0.22,0,-0,1.11022e-16,5.10886e-21
0,0.23,0,-0,0,0
0,0.24,0,-0,6.10623e-15,1.67582e-19
0,0.25,0,-0,0,0
0,0.26,0,-0,6.55032e-15,1.06499e-19
0,0.27,0,-0,0,0
0,0.28,0,-0,3.33067e-16,3.18956e-21
0,0.29,0,-0,0,0
0,0.3,0,-0,0,0
0,0.31,0,-0,8.88178e-16,3.80945e-21
0,0.32,0,-0,1.11022e-15,3.63542e-21
0,0.33,0,-0,0,0
0,0.34,0,-0,0,0
0,0.35,0,-0,0,0
0,0.36,0,-0,0,0
0,0.37,0,-0,1.66533e-15,1.3954e-21
0,0.38,0,-0,4.55191e-15,2.89719e-21
0,0.39,0,-0,0,0
0,0.4,0,-0,6.66134e-16,2.44134e-22
0,0.41,0,-0,0,0
0,0.42,0,-0,0,0
0,0.43,0,-0,0,0
0,0.44,0,-0,0,0
0,0.45,0,-0,0,0
0,0.46,0,-0,0,0
0,0.47,0,-0,0,0
0,0.48,0,-0,0,0
0,0.49,0,-0,2.52021e-14,7.49337e-22
0,0.5,0,-0,0,0
0,0.51,0,-0,2.10942e-15,3.57099e-23
0,0.52,0,-0,0,0
0,0.53,0,-0,0,0
0,0.54,0,-0,0,0
0,0.55,0,-0,8.65974e-15,4.73086e-23
0,0.56,0,-0,4.44089e-16,1.82699e-24
0,0.57,0,-0,0,0
0,0.58,0,-0,0,0
0,0.59,0,-0,2.44249e-15,4.28327e-24
0,0.6,0,-0,0,0
0,0.61,0,-0,0,0
0,0.62,0,-0,3.55271e-15,2.64884e-24
0,0.63,0,-0,1.12133e-14,6.2832e-24
0,0.64,0,-0,6.66134e-16,2.8045e-25
0,0.65,0,-0,0,0
0,0.66,0,-0,3.10862e-15,7.38303e-25
0,0.67,0,-0,0,0
0,0.68,0,-0,3.33067e-16,4.45833e-26
0,0.69,0,-0,0,0
0,0.7,0,-0,2.77556e-15,2.09213e-25
0,0.71,0,-0,5.44009e-15,3.07617e-25
0,0.72,0,-0,2.22045e-16,9.41722e-27
0,0.73,0,-0,0,0
0,0.74,0,-0,2.44249e-15,5.82404e-26
0,0.75,0,-0,1.04361e-14,1.86536e-25
0,0.76,0,-0,3.33067e-15,4.46184e-26
0,0.77,0,-0,0,0
0,0.78,0,-0,0,0
0,0.79,0,-0,0,0
0,0.8,0,-0,0,0
0,0.81,0,-0,0,0
0,0.82,0,-0,9.65894e-15,2.28528e-26
0,0.83,0,-0,2.10942e-15,3.73631e-27
0,0.84,0,-0,6.66134e-16,8.83173e-28
0,0.85,0,-0,0,0
0,0.86,0,-0,0,0
0,0.87,0,-0,0,0
0,0.88,0,-0,4.77396e-15,1.9842e-27
0,0.89,0,-0,0,0
0,0.9,0,-0,0,0
0,0.91,0,-0,0,0
0,0.92,0,-0,0,0
0,0.93,0,-0,7.77156e-16,7.55506e-29
0,0.94,0,-0,2.9976e-15,2.17848e-28
0,0.95,0,-0,0,0
0,0.96,0,-0,0,0
0,0.97,0,-0,1.22125e-15,3.70544e-29
0,0.98,0,-0,1.66533e-15,3.7757e-29
0,0.99,0,-0,0,0
0,1,0,-0,5.10703e-15,6.46319e-29
0,1.01,0,-0,0,0
0,1.02,0,-0,0,0
0,1.03,0,-0,0,0
0,1.04,0,-0,4.44089e-16,1.74904e-30
0,1.05,0,-0,1.55431e-15,4.57119e-30
0,1.06,0,-0,0,0
0,1.07,0,-0,6.88338e-15,1.12849e-29
0,1.08,0,-0,0,0
0,1.09,0,-0,1.88738e-15,1.72427e-30
0,1.1,0,-0,2.22045e-16,1.51411e-31
0,1.11,0,-0,0,0
0,1.12,0,-0,0,0
0,1.13,0,-0,2.22045e-16,6.29299e-32
0,1.14,0,-0,8.77076e-15,1.85475e-30
0,1.15,0,-0,2.22045e-16,3.50337e-32
0,1.16,0,-0,3.33067e-16,3.9205e-32
0,1.17,0,-0,2.22045e-16,1.94977e-32
0,1.18,0,-0,2.22045e-16,1.4544e-32
0,1.19,0,-0,0,0
0,1.2,0,-0,0,0
0,1.21,0,-0,3.41949e-14,9.29226e-31
0,1.22,0,-0,0,0
0,1.23,0,-0,1.55431e-15,2.3487e-32
0,1.24,0,-0,1.11022e-15,1.25089e-32
0,1.25,0,-0,0,0
0,1.26,0,-0,5.55112e-16,3.47655e-33
0,1.27,0,-0,7.77156e-16,3.62839e-33
0,1.28,0,-0,0,0
0,1.29,0,-0,1.9984e-15,5.18423e-33
0,1.3,0,-0,3.77476e-15,7.29875e-33
0,1.31,0,-0,1.18794e-14,1.71193e-32
0,1.32,0,-0,8.90399e-14,9.56277e-32
0,1.33,0,-0,3.55271e-15,2.84342e-33
0,1.34,0,-0,0,0
0,1.35,0,-0,0,0
0,1.36,0,-0,1.11022e-15,3.67615e-34
0,1.37,0,-0,0,0
0,1.38,0,-0,0,0
0,1.39,0,-0,5.55112e-16,7.60068e-35
0,1.4,0,-0,5.55112e-16,5.662e-35
0,1.41,0,-0,1.11022e-16,8.43521e-36
0,1.42,0,-0,8.88178e-16,5.02643e-35
0,1.43,0,-0,9.99201e-16,4.21177e-35
0,1.44,0,-0,0,0
0,1.45,0,-0,0,0
0,1.46,0,-0,3.10862e-15,5.41266e-35
0,1.47,0,-0,3.33067e-16,4.3186e-36
0,1.48,0,-0,0,0
0,1.49,0,-0,0,0
0,1.5,0,-0,0,0
0,1.51,0,-0,8.88178e-16,3.53989e-36
0,1.52,0,-0,0,0
0,1.53,0,-0,9.99201e-16,2.20732e-36
0,1.54,0,-0,1.11022e-15,1.82582e-36
0,1.55,0,-0,0,0
0,1.56,0,-0,2.22045e-16,2.02349e-37
0,1.57,0,-0,3.33067e-16,2.25929e-37
0,1.58,0,-0,0,0
0,1.59,0,-0,0,0
0,1.6,0,-0,2.22045e-16,6.21032e-38
0,1.61,0,-0,2.22045e-16,4.62194e-38
0,1.62,0,-0,3.33067e-16,5.15952e-38
0,1.63,0,-0,1.22125e-15,1.40785e-37
0,1.64,0,-0,0,0
0,1.65,0,-0,1.11022e-16,7.08714e-39
0,1.66,0,-0,0,0
0,1.67,0,-0,5.55112e-16,1.96193e-38
0,1.68,0,-0,0,0
0,1.69,0,-0,0,0
0,1.7,0,-0,1.55431e-15,2.26249e-38
0,1.71,0,-0,8.00471e-14,8.66853e-37
0,1.72,0,-0,4.44089e-16,3.57773e-39
0,1.73,0,-0,1.22125e-15,7.31918e-39
0,1.74,0,-0,0,0
0,1.75,0,-0,0,0
0,1.76,0,-0,5.55112e-16,1.36937e-39
0,1.77,0,-0,0,0
0,1.78,0,-0,2.78666e-14,3.80312e-38
0,1.79,0,-0,8.88178e-16,9.01559e-40
0,1.8,0,-0,4.44089e-16,3.35265e-40
