omega, Gamma, dEdtdw
0.01,0,-0
0.02,0,-0
0.03,0,-0
0.04,0,-0
0.05,0,-0
0.06,0,-0
0.07,0,-0
0.08,0,-0
0.09,0,-0
0.1,0,-0
0.11,0,-0
0.12,0,-0
0.13,0,-0
0.14,0,-0
0.15,0,-0
0.16,0,-0
0.17,0.0186429,-0.000504789
0.18,0.0631097,-0.0018098
0.19,0.0726445,-0.00219976
0.2,0.062087,-0.00197998
0.21,0.0418067,-0.00140082
0.22,0.016446,-0.00057781
0.23,0,-0
0.24,0,-0
0.25,0,-0
0.26,0,-0
0.27,0,-0
0.28,0,-0
0.29,0,-0
0.3,0,-0
0.31,0,-0
0.32,0,-0
0.33,0.0692667,-0.0040157
0.34,0.149126,-0.00924547
0.35,0.164441,-0.0110623
0.36,0.144735,-0.0108047
0.37,0.108885,-0.00935159
0.38,0.0651389,-0.00685148
0.39,0.0162548,-0.00237197
0.4,0,-0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0.106827,0.000776316
0.5,0.22298,0.00119397
0.51,0.247634,0.0009831
0.52,0.222923,0.000658999
0.53,0.17508,0.000386566
0.54,0.115655,0.000191127
0.55,0.0486018,6.02026e-05
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0.129069,9.13224e-06
0.66,0.285066,1.51446e-05
0.67,0.323541,1.29038e-05
0.68,0.298096,8.92363e-06
0.69,0.241806,5.43208e-06
0.7,0.169439,2.8559e-06
0.71,0.0861763,1.0896e-06
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0.131225,9.27089e-08
0.82,0.337021,1.78276e-07
0.83,0.396085,1.56853e-07
0.84,0.374617,1.11045e-07
0.85,0.313356,6.95172e-08
0.86,0.230682,3.8296e-08
0.87,0.133158,1.65399e-08
0.88,0.0214167,1.99014e-09
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0.100636,6.82677e-10
0.98,0.381102,1.9318e-09
0.99,0.472623,1.78999e-09
1,0.460858,1.30398e-09
1.01,0.397928,8.41074e-10
1.02,0.307236,4.85049e-10
1.03,0.197157,2.3247e-10
1.04,0.0684124,6.02408e-11
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0.417853,1.97559e-11
1.15,0.565457,1.99467e-11
1.16,0.570943,1.50255e-11
1.17,0.508973,9.99222e-12
1.18,0.411599,6.02758e-12
1.19,0.290002,3.16766e-12
1.2,0.14503,1.1815e-12
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0.432773,1.87087e-13
1.31,0.692111,2.22994e-13
1.32,0.725033,1.74093e-13
1.33,0.664208,1.18853e-13
1.34,0.559166,7.45599e-14
1.35,0.425801,4.23062e-14
1.36,0.26526,1.96372e-14
1.37,0.0695236,3.83465e-15
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0.303287,1.18065e-15
1.47,0.846762,2.4547e-15
1.48,0.923946,1.99449e-15
1.49,0.861374,1.38454e-15
1.5,0.745843,8.92631e-16
1.51,0.600618,5.35196e-16
1.52,0.427549,2.83643e-16
1.53,0.217112,1.07231e-16
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0.739964,1.90718e-17
1.64,0.959588,1.84046e-17
1.65,0.940126,1.34175e-17
1.66,0.842187,8.94382e-18
1.67,0.706389,5.58176e-18
1.68,0.540889,3.18004e-18
1.69,0.340794,1.49073e-18
1.7,0.0919261,2.99166e-19
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0.145883,3.31072e-20
1.8,0.455169,7.68274e-20
1.81,0.560589,7.03717e-20
1.82,0.559612,5.22442e-20
1.83,0.49739,3.45328e-20
1.84,0.394328,2.03594e-20
1.85,0.259705,9.97117e-21
1.86,0.0987673,2.81984e-21
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0.0806355,1.1883e-22
1.97,0.134563,1.47415e-22
1.98,0.150194,1.22312e-22
1.99,0.135987,8.23203e-23
