r,real,imag
1.5,0,0
1.74372,3.74911e+197,-4.14397e+197
1.98744,-1.37351e+200,1.7518e+200
2.23116,2.53277e+202,-3.71053e+202
2.47487,-2.54611e+204,4.25589e+204
2.71859,1.51374e+206,-2.85327e+206
2.96231,-5.7884e+207,1.20635e+208
3.20603,1.55176e+209,-3.47274e+209
3.44975,-3.17872e+210,7.36566e+210
3.69347,5.40448e+211,-1.2504e+212
3.93719,-8.24316e+212,1.85468e+213
4.1809,1.21588e+214,-2.63588e+214
4.42462,-1.80045e+215,3.76284e+215
4.66834,2.67507e+216,-5.39528e+216
4.91206,-3.98554e+217,7.76777e+217
5.15578,5.95138e+218,-1.12266e+219
5.3995,-8.90316e+219,1.62839e+220
5.64322,1.33389e+221,-2.36992e+221
5.88693,-2.00091e+222,3.46003e+222
6.13065,3.00454e+223,-5.06665e+223
6.37437,-4.51548e+224,7.44021e+224
6.61809,6.79135e+225,-1.0955e+226
6.86181,-1.02212e+227,1.61717e+227
7.10553,1.53927e+228,-2.39313e+228
7.34925,-2.31948e+229,3.54986e+229
7.59296,3.49722e+230,-5.27788e+230
7.83668,-5.27609e+231,7.86482e+231
8.0804,7.96463e+232,-1.17457e+233
8.32412,-1.20306e+234,1.758e+234
8.56784,1.81838e+235,-2.63691e+235
8.81156,-2.75017e+236,3.96369e+236
9.05528,4.1621e+237,-5.97073e+237
9.29899,-6.30286e+238,9.01308e+238
9.54271,9.55043e+239,-1.36344e+240
9.78643,-1.44793e+241,2.06684e+241
10.0302,2.19624e+242,-3.13971e+242
10.2739,-3.3326e+243,4.77945e+243
10.5176,5.05832e+244,-7.29066e+244
10.7613,-7.67868e+245,1.11443e+246
11.005,1.16561e+247,-1.70697e+247
11.2487,-1.76896e+248,2.61985e+248
11.4925,2.68341e+249,-4.02895e+249
11.7362,-4.06774e+250,6.20809e+250
11.9799,6.16022e+251,-9.58414e+251
12.2236,-9.31723e+252,1.48236e+253
12.4673,1.40696e+254,-2.29682e+254
12.7111,-2.12046e+255,3.56486e+255
12.9548,3.18832e+256,-5.54188e+256
13.1985,-4.78074e+257,8.62831e+257
13.4422,7.14551e+258,-1.34522e+259
13.6859,-1.06404e+260,2.09993e+260
13.9296,1.57771e+261,-3.28166e+261
14.1734,-2.32791e+262,5.13323e+262
14.4171,3.41557e+263,-8.03567e+263
14.6608,-4.97913e+264,1.25867e+265
14.9045,7.20456e+265,-1.97231e+266
15.1482,-1.03348e+267,3.09125e+267
15.392,1.46754e+268,-4.84515e+268
15.6357,-2.05894e+269,7.59294e+269
15.8794,2.847e+270,-1.1895e+271
16.1231,-3.86677e+271,1.86247e+272
16.3668,5.1338e+272,-2.91413e+273
16.6106,-6.6148e+273,4.55563e+274
16.8543,8.17462e+274,-7.11425e+275
17.098,-9.48426e+275,1.10958e+277
17.3417,9.86455e+276,-1.72793e+278
17.5854,-8.02198e+277,2.68572e+279
17.8291,1.59234e+278,-4.16377e+280
18.0729,1.36935e+280,6.43159e+281
18.3166,-4.56809e+281,-9.87787e+282
18.5603,1.0952e+283,1.50256e+284
18.804,-2.36805e+284,-2.24662e+285
19.0477,4.99382e+285,3.25062e+286
19.2915,-1.07339e+287,-4.39206e+287
19.5352,2.41333e+288,5.0074e+288
19.7789,-5.72478e+289,-2.7517e+289
20.0226,1.42408e+291,-9.65371e+290
20.2663,-3.6639e+292,5.35282e+292
20.5101,9.61088e+293,-1.89411e+294
20.7538,-2.54189e+295,5.86007e+295
20.9975,6.72877e+296,-1.70739e+297
21.2412,-1.77503e+298,4.81751e+298
21.4849,4.65499e+299,-1.333e+300
21.7286,-1.21207e+301,3.63945e+301
21.9724,3.13154e+302,-9.83568e+302
22.2161,-8.02557e+303,2.63541e+304
22.4598,2.03989e+305,-7.00708e+305
22.7035,-5.14161e+306,inf
22.9472,-nan,-inf
23.191,-nan,-nan
23.4347,-nan,-nan
23.6784,-nan,-nan
23.9221,-nan,-nan
24.1658,-nan,-nan
24.4095,-nan,-nan
24.6533,-nan,-nan
24.897,-nan,-nan
25.1407,-nan,-nan
25.3844,-nan,-nan
25.6281,-nan,-nan
25.8719,-nan,-nan
26.1156,-nan,-nan
26.3593,-nan,-nan
26.603,-nan,-nan
26.8467,-nan,-nan
27.0905,-nan,-nan
27.3342,-nan,-nan
27.5779,-nan,-nan
27.8216,-nan,-nan
28.0653,-nan,-nan
28.309,-nan,-nan
28.5528,-nan,-nan
28.7965,-nan,-nan
29.0402,-nan,-nan
29.2839,-nan,-nan
29.5276,-nan,-nan
29.7714,-nan,-nan
30.0151,-nan,-nan
30.2588,-nan,-nan
30.5025,-nan,-nan
30.7462,-nan,-nan
30.9899,-nan,-nan
31.2337,-nan,-nan
31.4774,-nan,-nan
31.7211,-nan,-nan
31.9648,-nan,-nan
32.2085,-nan,-nan
32.4523,-nan,-nan
32.696,-nan,-nan
32.9397,-nan,-nan
33.1834,-nan,-nan
33.4271,-nan,-nan
33.6709,-nan,-nan
33.9146,-nan,-nan
34.1583,-nan,-nan
34.402,-nan,-nan
34.6457,-nan,-nan
34.8894,-nan,-nan
35.1332,-nan,-nan
35.3769,-nan,-nan
35.6206,-nan,-nan
35.8643,-nan,-nan
36.108,-nan,-nan
36.3518,-nan,-nan
36.5955,-nan,-nan
36.8392,-nan,-nan
37.0829,-nan,-nan
37.3266,-nan,-nan
37.5704,-nan,-nan
37.8141,-nan,-nan
38.0578,-nan,-nan
38.3015,-nan,-nan
38.5452,-nan,-nan
38.7889,-nan,-nan
39.0327,-nan,-nan
39.2764,-nan,-nan
39.5201,-nan,-nan
39.7638,-nan,-nan
40.0075,-nan,-nan
40.2513,-nan,-nan
40.495,-nan,-nan
40.7387,-nan,-nan
40.9824,-nan,-nan
41.2261,-nan,-nan
41.4698,-nan,-nan
41.7136,-nan,-nan
41.9573,-nan,-nan
42.201,-nan,-nan
42.4447,-nan,-nan
42.6884,-nan,-nan
42.9322,-nan,-nan
43.1759,-nan,-nan
43.4196,-nan,-nan
43.6633,-nan,-nan
43.907,-nan,-nan
44.1508,-nan,-nan
44.3945,-nan,-nan
44.6382,-nan,-nan
44.8819,-nan,-nan
45.1256,-nan,-nan
45.3693,-nan,-nan
45.6131,-nan,-nan
45.8568,-nan,-nan
46.1005,-nan,-nan
46.3442,-nan,-nan
46.5879,-nan,-nan
46.8317,-nan,-nan
47.0754,-nan,-nan
47.3191,-nan,-nan
47.5628,-nan,-nan
47.8065,-nan,-nan
48.0503,-nan,-nan
48.294,-nan,-nan
48.5377,-nan,-nan
48.7814,-nan,-nan
49.0251,-nan,-nan
49.2688,-nan,-nan
49.5126,-nan,-nan
49.7563,-nan,-nan
50,0,-0
